bedroom,bathroom,floors,parking,roadsize(feet),Road type,Area(sq ft),Price
6,6,3,1,14,1,729,24000000
10,10,3,4,10,5,889,14500000
4,4,2,0,13,5,1112.31,14200000
4,4,2.5,1,13,1,1369,24000000
6,6,3,1,20,3,729,29000000
0,1,3,0,13,5,889,22000000
8,8,3,1,12,1,1026.75,25000000
6,6,2.5,2,13,1,1112.31,21000000
5,5,3,5,16,3,1369,34000000
2,2,3,1,13,3,1026.75,13500000
8,8,3,4,13,3,1497.34,32500000
7,7,4,1,13,3,911.25,24000000
0,1,3,0,22,1,1540.12,37500000
6,6,3,3,15,1,1800.25,44500000
0,1,3,2,13,4,2258,22500000
0,1,3,0,20,3,1458,45000000
4,4,3,0,20,5,1155.09,22835000
3,3,1,1,8,5,729,8000000
0,1,1.5,0,10,5,1026.75,14000000
4,4,2,2,16,4,1668.46,39000000
4,4,3,1,19,3,546.75,29000000
0,1,3,0,13,5,1026.75,13600000
0,1,3,0,0,5,1711.25,19000000
5,5,3,3,20,3,1458,45000000
0,1,3,0,20,5,1454.56,46500000
6,6,3,2,15,1,1458,45000000
7,7,3,0,14,3,911.25,20500000
0,1,3,0,12,5,1026.75,11500000
6,6,3,1,23,1,1026.75,13000000
0,1,2,1,13,3,729,20000007
4,4,3.5,1,15,5,1796.81,36000000
4,4,2,0,7,3,1411.78,10000000
0,1,3,0,20,5,534.76,11000000
4,4,3,3,0,3,2566.87,55000000
0,1,3,0,16,5,941.18,16500000
5,5,3,2,13,1,729,32000000
0,1,3,0,10,1,1026.75,25000000
0,1,3,0,15,1,1458,51000000
5,5,3,1,13,1,1093.5,45000000
0,1,2,0,15,5,911.25,9500000
0,1,3,0,23,3,1433.17,30000000
4,4,2.5,1,13,3,1026.75,19500000
3,3,3,2,13,4,1219.26,36500000
7,7,3,1,10,3,1026.75,19000000
0,1,3,0,13,5,1112.31,15500000
0,1,3,0,10,5,1026.75,13000000
0,1,3,0,13,5,941.18,11800000
4,4,2,1,13,1,1540.12,43000000
4,4,3,1,12,4,546.75,16000000
0,1,2.5,0,13,4,1967.93,45000000
0,1,3,0,0,5,1369,22500000
4,4,3,2,15,3,1275.75,37500000
0,1,3,0,13,5,2053.5,17000000
0,1,3,0,0,5,1026.75,21000000
0,1,3,0,16,5,1240.65,23500000
0,1,3,1,20,1,2440.25,35000000
10,10,3,0,13,5,546.75,16800000
0,1,3,0,13,5,2187,60000000
3,3,3,6,13,1,2187,60000000
0,1,3,0,0,5,1711.25,28000000
4,4,3,3,13,3,1093.5,32000000
6,6,3,3,13,4,1197.87,36000000
8,8,3,0,13,3,1048.14,16500000
10,10,3,3,13,5,1093.5,29800000
0,1,3,0,0,5,855.62,14000000
6,6,3,1,18,1,729,23800000
0,1,3,0,18,3,3716,65000000
7,7,2,3,13,3,1240.65,23500000
5,5,3,1,16,5,2004.75,11000000
0,1,3,0,13,5,1369,21500000
6,6,3,4,10,4,911.25,26500000
5,5,2.5,2,20,3,1197.87,22000000
4,4,3,1,12,4,1755.75,31500000
5,5,3,4,14,3,3098.25,62000000
5,5,3,5,13,3,546.75,20000000
0,1,3,1,4,0,1048.14,15000000
0,1,3,0,0,5,1369,33000000
0,1,3,0,13,5,1026.75,22500000
0,1,3,0,0,5,855.62,16500000
0,1,3,0,20,3,2310.18,36000000
4,4,3,4,14,4,1711.25,55000000
0,1,3.5,0,13,1,1540.12,25500000
0,1,3,0,12,3,1454.55,11500000
5,5,3,2,15,1,1275.75,34500000
0,1,3,0,0,5,1411.78,22000000
0,1,3,0,0,5,1283.43,22000000
0,1,3,0,13,5,1454.56,17500000
6,6,3,2,15,1,2224.62,56000000
4,4,3,2,13,1,2053.5,47000000
0,1,3,0,0,5,1369,58500000
5,5,2.5,2,20,1,1112.31,21500000
0,1,2.5,0,12,3,2053.5,45000000
10,10,3,3,0,5,1071.25,29900000
0,1,3,0,12,5,1369,22500000
5,5,3,2,15,1,1458,56000000
0,1,3,0,0,5,855.62,4500000
7,7,2.5,1,20,2,1625.68,30500000
4,4,3,0,13,5,729,25000000
0,1,3,0,16,3,2053.5,37500000
4,4,1.5,0,4,2,1796.81,12000000
3,3,3,2,13,3,1967.93,33000000
0,1,3,0,0,5,2909.12,42000000
2,2,2,1,16.4042,5,1275.75,24500000
0,1,3,0,0,5,1197.87,8000000
7,7,2.5,3,13,3,3123.03,60000000
0,1,3,2,14,3,2395.75,65500000
2,2,1.5,1,16,1,1411.78,15000000
8,8,2.5,1,13,3,1026.75,17000000
5,5,3,1,20,5,1093.5,65000000
3,3,3,0,13,5,2258,18000000
0,1,3,0,0,5,1540.12,23500000
8,8,3,0,13,1,1026.75,17000000
6,6,3,2,13,1,911.25,32000000
0,1,3,3,8,3,1540.12,33000000
4,4,1,1,20,3,729,21000000
7,7,3,1,10,5,1369,28000000
0,1,3,0,0,5,1133.7,15500000
0,1,3,0,12,5,546.75,17000000
6,6,3,3,12,3,1458,43000000
0,1,3,0,12,5,1497.34,25500000
0,1,3,0,10,3,729,19000000
9,9,5,0,10,1,1133.7,35000000
6,6,3,0,20,5,1219.26,43500000
6,6,3,3,12,5,729,16500000
8,8,3,0,20,3,546.75,15500000
0,1,3,0,16,5,2181.84,26000000
0,1,3,0,16,1,1197.87,26900000
5,5,3,0,15,1,2566.87,30000000
5,5,3,1,13,1,855.62,17000000
10,10,3,0,12,1,729,23000000
0,1,3,0,0,5,1369,35000000
5,5,3,1,14,3,546.75,16800000
5,5,3.5,1,12,3,1283.43,25000000
0,1,3,0,0,5,1369,13000000
4,4,3,3,15,1,2551.5,32000000
5,5,3,1,10,5,2224.62,22000000
7,7,2,0,15,3,1112.31,17800000
0,1,3,0,0,5,1026.75,24500000
0,1,3,0,0,5,1689.85,19500000
3,3,3,0,13,5,729,36500000
0,1,3,0,13,5,1369,17500000
6,6,3,0,14,5,729,19500000
0,1,3,0,0,5,1275.75,8600000
0,1,3,0,0,5,1369,23000000
6,6,2.5,1,12,2,1369,32500000
0,1,3,0,15,5,729,20000000
0,1,3,0,13,5,1026.75,19000000
5,5,3,1,12,1,1197.87,21000000
0,1,4,0,15,5,1275.75,35000000
6,6,3,0,12,5,1093.5,51500000
4,4,2,1,16,3,2004.75,13500000
6,6,3,0,15,1,1093.5,42500000
6,6,3,1,13,5,546.75,27000000
0,1,3,0,13,5,877.01,15000000
7,7,3,1,13,5,1133.7,22500000
0,1,3,0,12,5,911.25,10000000
0,1,3,0,0,5,1347.6,10500000
4,4,3,1,13,1,1711.25,39000000
0,1,3,0,0,5,1026.75,17700000
5,5,3,0,14,5,911.25,39000000
5,5,2.5,1,13,3,1197.87,25000000
6,6,2.5,2,20,3,1197.87,24500000
3,3,3,1,12,3,2258,23000000
0,1,3,0,13,5,855.62,16000000
8,8,3,0,14,5,2823.55,41500000
0,1,3,0,13,1,1262.04,27000000
0,1,3,0,13,3,1369,17000000
6,6,3,5,12,1,2395.75,32500000
0,1,3,0,0,5,1048.14,20000000
5,5,3,1,15,1,2374.35,29500000
6,6,2,4,14,1,3422.5,60000000
3,3,1,0,15,5,1093.5,6400000
0,1,3,0,0,5,1026.75,18500000
0,1,3,0,13,5,1458,55000000
5,5,3,3,13,5,2733.75,65000000
3,3,2.5,1,14,3,1026.75,18500000
4,4,2,3,13,5,1822.5,39000000
0,1,3,0,0,5,1026.75,9700000
6,6,2,2,0,5,729,34500000
7,7,3,1,14,5,342.24,25000000
4,4,2,3,16,1,1458,47500000
5,5,2,1,13,1,729,30500000
0,1,3,0,6,5,1026.75,9300000
0,1,3,0,20,5,684.5,35000000
6,6,3,2,13,1,2440.25,25500000
5,5,3,1,14,5,1093.5,34000000
3,3,2,4,15,3,4107,45000000
5,5,3,3,20,1,1275.75,45000000
5,5,3,0,12,1,1755.75,26000000
2,2,1,2,12,3,1231.25,12800000
0,1,3,0,13,5,1026.75,16500000
4,4,2.5,0,13,1,1197.87,26000000
6,6,3,1,13,1,729,28000000
