bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
5,4,2.5,2,"Nearby Sun City Apartment, Pepsicola, Kathmandu",0,3,0,0,18,Gravelled,1,1026.75,25000000
0,0,3,1,"Jorpati, Jorpati, Kathmandu",2,5,,,10,Soil Stabilized,2,2075.75,14000000
3,3,3,1,"Basundhara, Basundhara, Kathmandu",0,2,3,0,12,Paved,2,941.18,19500000
5,3,2.5,1,"Buddha Colony, Imadol, Lalitpur",0,3,0,2,13,Gravelled,2,1069.53,17500000
5,6,3,1,"Na, Dhapasi, Kathmandu",3,5,,,13,Blacktopped,2,2258,25500000
5,5,3,5,"narayanthan, Budhanilkantha, Kathmandu",0,9,0,0,22,Soil Stabilized,1,3080.25,63000000
7,3,3,0,"Panauti, Panauti, Kavre",3,,,,24,Soil Stabilized,2,546.75,9000000
0,0,N/A,0,"Lolang Height, Machha Pokhari, Kathmandu",0,3,1,0,0,Soil Stabilized,0.916666667,1112.31,20000000
10,0,4,0,"Kausaltar, Kausaltar, Bhaktapur",3,5,,,20,Soil Stabilized,2,2258,19500000
8,2,2,2,"Sanobharayang, Sanobharyang, Kathmandu",4,5,,,14,Soil Stabilized,3,2440.25,22000000
0,0,N/A,0,"kalanki khadka gaun, Kalanki, Kathmandu",0,4,0,0,12,Soil Stabilized,1,1369,22500000
7,7,4,2,"Na, Mandikatar, Kathmandu",7,,,,15,Blacktopped,2,1275.75,40000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,3,0,0,Soil Stabilized,0.75,1283.43,14900000
2,1,1,1,"Imadol, Lalitpur, Imadol, Lalitpur",0,3,2,0,14,Blacktopped,1,1197.87,15000000
5,4,3,1,"Kalanki, Syuchatar, Kathmandu",3,,,,13,Gravelled,0.583333333,546.75,24800000
0,0,2,0,"Dhumbarahi Main chowk, Dhumbarahi, Kathmandu",0,4,5,0,20,Soil Stabilized,3,1796.8,55000000
0,0,N/A,0,"Kapan, Kapan, Kathmandu",4,,,,12,Paved,1,729,26000000
0,0,N/A,0,"Goldhunga-05, Goldhunga, Kathmandu",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,18500000
2,1,1,1,"Kapan kharibot shantinagar, Budhanilkantha, Kathmandu",3,1,,,13,Blacktopped,1,889,13000000
0,0,N/A,0,"darjeeling height, Suryabinayak, Bhaktapur",0,2,3,0,0,Soil Stabilized,1,941.18,12200000
4,4,2,4,"Balkumari, Balkumari, Lalitpur",0,10,1,0,20,Soil Stabilized,1,3508.06,47000000
5,3,3,3,"Hattigauda, Hattigauda, Kathmandu",0,6,2,0,13,Paved,3,2224.62,36500000
7,3,3,1,"Gandakbasti, Bafal, Kathmandu",0,4,0,0,10,Blacktopped,2,1369,31000000
3,2,N/A,1,"Gokul Awas, Bhaisepati, Lalitpur",0,4,1,0,15,Soil Stabilized,3,1454.56,29000000
0,0,3,0,"Budhanilkantha, Muhanpokhari, Budhanilkantha, Kathmandu",0,5,0,3,20,Gravelled,2,1775.42,29000000
10,5,4,1,"Suryadarsan height, Tokha, Kathmandu",0,5,0,0,20,Blacktopped,1,1711.25,30500000
0,0,N/A,0,"Duwakot, Duwakot, Bhaktapur",0,3,0,0,6,Soil Stabilized,0.75,1026.75,12000000
0,0,N/A,0,"manamaiju, Manamaiju, Kathmandu",0,3,1,0,20,Blacktopped,2,1112.31,22000000
0,0,2.5,0,"Tarkeshwor, Tarkeshwor, Kathmandu",0,5,0,0,13,Blacktopped,0.916666667,1711.25,35000000
0,0,N/A,0,"Sirutaar, Balkot, Bhaktapur",0,3,0,0,13,Soil Stabilized,1,1026.75,17000000
0,0,N/A,0,"Duwakot, Duwakot, Bhaktapur",0,3,1,2,12,Soil Stabilized,1,1155.09,15000000
5,0,3,0,"Kadaghari, Kadaghari, Kathmandu",0,4,0,0,12,Blacktopped,2,1369,29000000
0,0,N/A,0,"Hattigauda, Hattigauda, Kathmandu",3,,,,16,Blacktopped,2,546.75,18000000
0,0,N/A,0,"Dhungedhara, Dhungedhara, Kathmandu",0,5,2,0,0,Soil Stabilized,0.666666667,1882.37,55000000
4,1,2,3,"Damak, Damak, Jhapa",10,,,,20,Blacktopped,2,1822.5,20000000
7,4,3,1,"55, Basuki Nagar, Naya Basti, PatiTar, Jorpati, Kathmandu",4,,,,10,Blacktopped,0.333333333,729,23000000
10,0,3,0,"Samakhusi, Samakhusi, Kathmandu",4,2,,,19.68504,Soil Stabilized,2,1413.5,34500000
0,0,N/A,0,"Chappalkarkhana, Maharajgunj, Kathmandu",0,10,2,0,0,Soil Stabilized,0.666666667,3593.62,62500000
0,0,N/A,0,"Sudal-08, Sudal, Bhaktapur",0,3,2,0,12,Soil Stabilized,0.666666667,1197.87,9200000
0,0,N/A,0,"Pepsicola, Pepsicola, Kathmandu",0,2,2,0,0,Soil Stabilized,0.666666667,855.62,16500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,2,0,13,Gravelled,2,1197.87,27500000
5,5,3,2,"Na, Hattigauda, Kathmandu",5,,,,13,Gravelled,1,911.25,34500000
2,1,1,1,"sanepa, Sanepa, Lalitpur",3,,,,13,Gravelled,2,546.75,4800000
0,0,3,0,"Panchakumari Marg, 10, Kapan, Kathmandu",2,5,,,12,Soil Stabilized,1,2075.75,11000000
7,5,4,0,"Paiyatar, Kapan, Kathmandu",0,3,1,1,0,Soil Stabilized,0.166666667,1133.7,17500000
5,4,2.5,0,"Sukedhara, Sukedhara, Kathmandu",6,,,,15,Gravelled,2,1093.5,40000000
0,0,1,0,"Nearby, Harisiddhi Buspark Chowk, Harisiddhi, Lalitpur",33,,,,13,Soil Stabilized,2,6014.25,11500000
5,4,4,2,"Khumaltar, 15, Civil Homes, Lalitpur",5,,,,0,Soil Stabilized,1,911.25,60000000
0,0,N/A,0,"Makalbari, Makalbari, Kathmandu",0,2,2,0,12,Soil Stabilized,0.75,855.62,14500000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,1,0,10,Soil Stabilized,0.666666667,1112.31,19500000
0,0,N/A,0,"Suryabinayak, Bhaktapur, Suryabinayak, Bhaktapur",0,2,3,2,0,Soil Stabilized,1,983.96,12200000
6,6,3,1,"Na, Maitidevi, Kathmandu",3,,,,13,Gravelled,1,546.75,27500000
5,4,2.5,2,"Nearby Green Hill City, Imadol, Lalitpur",0,3,0,0,12,Gravelled,1,1026.75,19500000
0,0,1,0,"Sipadol, Sipadol, Bhaktapur",0,2,3,0,13,Gravelled,1,941.18,11800000
5,4,N/A,1,"Sital Height, Imadol, Godawari, Lalitpur",0,3,0,0,13,Gravelled,1,1026.75,16500000
0,0,N/A,0,"Jorpati, Jorpati, Kathmandu",0,3,2,0,0,Soil Stabilized,0.916666667,1197.87,15000000
0,0,N/A,0,"Kavresthali, Kavresthali, Kathmandu",0,3,0,0,8,Soil Stabilized,0.75,1026.75,8500000
6,6,3,2,"Na, Golfutar, Kathmandu",6,,,,15,Blacktopped,2,1093.5,45000000
4,2,2,1,"Townplanning, Pepsicola, Kathmandu",0,2,2,0,10,Gravelled,1,855.62,12500000
5,0,3,0,"Hepali, Golfutar, Kathmandu",4,1,1,,12,Gravelled,2,1156.81,28500000
8,7,3.5,2,"Harisiddhi, Harisiddhi, Lalitpur",7,1,,,10,Soil Stabilized,3,1618,33000000
0,0,N/A,0,"khadgagaun, Kalanki, Kathmandu",0,4,1,2,12,Soil Stabilized,1,1497.34,23500000
0,0,N/A,0,"Balaju, Balaju, Kathmandu",0,6,0,0,0,Soil Stabilized,0.916666667,2053.5,35000000
10,3,4,4,"Near Rave Futsal Center, Sukedhara, Kathmandu",3,,,,25,Blacktopped,1,546.75,28000000
10,3,3,0,"Baniyatar, Baniyatar, Kathmandu",4,,,,16,Soil Stabilized,2,729,22000000
8,4,3,5,"Harihar Marg, Dhapasi, Dhapasi, Kathmandu",0,8,3,0,12,Concrete,2,2994.68,40000000
5,2,3,1,"HarHar Mahadev Chowk, Kadaghari, Kathmandu",3,,,,12,Blacktopped,2,546.75,17000000
5,3,2,4,"Mahadevtar, Kavresthali, Kathmandu",0,4,1,0,13,Blacktopped,1,1454.56,24000000
0,0,N/A,0,"Taukhel, Taukhel, Lalitpur",0,3,0,2,20,Soil Stabilized,0.75,1069.53,10500000
0,0,N/A,0,"Kadaghari, Kadaghari, Kathmandu",0,4,0,0,20,Soil Stabilized,0.75,1369,23500000
9,1,3,1,"Bhaktapur, Bhaktapur, Bhaktapur",0,6,0,0,20,Gravelled,2,2053.5,21500000
6,3,N/A,2,"bansbari, Bansbari, Kathmandu",0,8,0,0,20,Soil Stabilized,1,2738,49500000
6,4,3,1,"Kausaltar, Kausaltar, Bhaktapur",4,,,,20,Gravelled,1,729,32500000
0,0,3,0,"Milan Chowk, Nakhipot, Lalitpur",4,,,,10,Gravelled,2,729,20500000
10,5,3.5,4,"Nepaltar, Nepaltar, Kathmandu",0,3,2,0,15,Gravelled,1,1197.87,25000000
9,5,3,3,"Manbhawan, AVM, Chowk, Manbhawan, Lalitpur",0,10,0,0,13,Blacktopped,1,3422.5,62500000
4,4,N/A,0,"Na, Budhanilkantha, Kathmandu",12,,,,20,Blacktopped,1,2187,67500000
0,0,N/A,0,"New house sale in thaiba, Thaiba, Lalitpur",0,3,1,0,0,Soil Stabilized,1,1112.31,12500000
6,3,2.5,2,"Sital height, Imadol, Lalitpur",0,3,2,0,13,Gravelled,2,1197.87,20000000
5,3,2,0,"Nawalparasi, Nawalparasi, Nawalparasi",7,5,,,20,Gravelled,1,2987,12500000
0,3,N/A,2,"hapali height, Budhanilkantha, Kathmandu",5,,,,0,Gravelled,0.666666667,911.25,47500000
0,0,N/A,0,"Hattiban, Hattiban, Lalitpur",0,4,0,0,13,Soil Stabilized,1,1369,18000000
7,3,3,1,"Sipadol, Sipadol, Bhaktapur",0,3,2,0,10,Gravelled,2,1197.87,19000000
2,1,1,4,"Near Pawan Prakriti School, Imadol, Lalitpur",3,5,,,20,Gravelled,2,2258,14200000
7,0,N/A,0,"Balambu Hariyali, Balambu, Kathmandu",3,,,,12,Gravelled,2,546.75,15500000
0,0,N/A,0,"Dolahiti height, Lalitpur, Lalitpur",0,2,3,2,11,Soil Stabilized,1,983.96,17000000
5,5,3,2,"Na, Hattigauda, Kathmandu",5,,,,13,Gravelled,1,911.25,33400000
6,3,3,1,"Kavresthali, Balaju, Kavresthali, Kathmandu",3,2,,,0,Soil Stabilized,2,1231.25,19000000
5,6,N/A,0,"Na, Budhanilkantha, Kathmandu",11,,,,13,Gravelled,1,2004.75,60000000
5,6,3,3,"Na, Greenhill city, Mulpani, Kathmandu",8,,,,20,Blacktopped,1,1458,49800000
3,1,2,1,"Badikhel (Godawari), Godawari, Lalitpur",0,5,0,0,16,Blacktopped,2,1711.25,12500000
4,5,2.5,1,"Nakkhu, Lalitpur, Nakkhu, Lalitpur",4,2,,,15,Soil Stabilized,1,1413.5,29000000
3,2,N/A,0,"Green Valley Homes, Lamatar, Lalitpur",4,,,,20,Blacktopped,0.166666667,729,15500000
4,2,3,2,"Nayabato, Dhobighat, Lalitpur",8,,,,20,Soil Stabilized,2,1458,40000000
6,6,3,2,"NA, Bansbari, Kathmandu",6,,,,10,Blacktopped,1,1093.5,36000000
2,1,1,1,"Tikathali, Tikathali, Lalitpur",3,,,,13,Soil Stabilized,2,546.75,12500000
0,0,N/A,0,"Chhunikhel, Budhanilkantha, Kathmandu",0,3,0,0,0,Soil Stabilized,0.75,1026.75,15500000
0,0,N/A,0,"Paiyatar, Kapan, Kathmandu",0,4,1,0,0,Soil Stabilized,0.916666667,1454.56,16000000
7,7,3,1,"Man, Ekatabasti, Kathmandu",4,,,,13,Blacktopped,2,729,29900000
