bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
0,0,N/A,0,"Sattale, Kapan, Kathmandu",0,4,0,0,0,Soil Stabilized,0.75,1369,33000000
0,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,3,0,0,13,Soil Stabilized,0.75,1026.75,22500000
0,0,N/A,0,"Pepsicola, Pepsicola, Kathmandu",0,2,2,0,0,Soil Stabilized,0.666666667,855.62,16500000
0,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,6,3,0,20,Gravelled,2,2310.18,36000000
4,5,3,4,"Gairidhara, Gairidhara, Kathmandu",0,5,0,0,14,Paved,2,1711.25,55000000
0,0,3.5,0,"sitapaila, Bafal, Kathmandu",0,4,2,0,13,Blacktopped,2,1540.12,25500000
0,0,N/A,0,"Gothatar, Kadaghari, Kathmandu",0,3,5,0,12,Gravelled,2,1454.55,11500000
5,5,3,2,"na, Bhangal, Kathmandu",7,,,,15,Blacktopped,2,1275.75,34500000
0,0,N/A,0,"Lubhu, Lubhu, Lalitpur",0,4,0,2,0,Soil Stabilized,0.916666667,1411.78,22000000
0,0,N/A,0,"Kalanki, Kalanki, Kathmandu",0,3,3,0,0,Soil Stabilized,0.916666667,1283.43,22000000
0,0,N/A,0,"Sitapaila, Sitapaila, Kathmandu",0,4,1,0,13,Soil Stabilized,0.75,1454.56,17500000
6,5,3,2,"Gyaneshwor Chowk, Gyaneshwor, Kathmandu",0,6,2,0,15,Blacktopped,1,2224.62,56000000
4,3,N/A,2,"Bhudanilkantha, Budhanilkantha, Kathmandu",0,6,0,0,13,Blacktopped,0.333333333,2053.5,47000000
0,0,N/A,0,"Dillibazar, Kathmandu, Dillibazar, Kathmandu",0,4,0,0,0,Soil Stabilized,0.916666667,1369,58500000
5,3,2.5,2,"opposite of Green hill city, Imadol, Lalitpur",0,3,1,0,20,Blacktopped,2,1112.31,21500000
0,0,2.5,0,"Narayanthan, Budhanilkantha, Kathmandu",0,6,0,0,12,Gravelled,1,2053.5,45000000
10,0,3,3,"Budhanilkantha, Budhanilkantha, Kathmandu",4,1,,,0,Soil Stabilized,2,1071.25,29900000
0,0,N/A,0,"Kapan, Kapan, Kathmandu",0,4,0,0,12,Soil Stabilized,0.666666667,1369,22500000
5,5,3,2,"Na, Maharajgunj, Kathmandu",8,,,,15,Blacktopped,2,1458,56000000
0,0,N/A,0,"Pokhara, Pokhara, Pokhara",0,2,2,0,0,Soil Stabilized,0.916666667,855.62,4500000
7,4,2.5,1,"Budanilkantha, Budhanilkantha, Kathmandu",0,4,3,0,20,Concrete,1,1625.68,30500000
4,3,3,0,"Sundarbasti, Bhangal, Kathmandu",4,,,,13,Soil Stabilized,2,729,25000000
0,3,N/A,0,"Hattigaunda, Hattigauda, Kathmandu",0,6,0,0,16,Gravelled,3,2053.5,37500000
4,1,1.5,0,"Setipakha, Imadol, Lalitpur",0,5,1,0,4,Concrete,2,1796.81,12000000
3,0,N/A,2,"Ekantakuna banlo house for sale, Ekantakuna, Lalitpur",0,5,3,0,13,Gravelled,1,1967.93,33000000
0,0,N/A,0,"House sale in Banasthali, Banasthali, Kathmandu",0,8,2,0,0,Soil Stabilized,1,2909.12,42000000
2,2,2,1,"Sarswoti tol, Birtamod Road, Itahari",7,,,,16.4042,Soil Stabilized,1,1275.75,24500000
0,0,N/A,0,"Suchyatar, Kalanki, Kathmandu",0,3,2,0,0,Soil Stabilized,0.916666667,1197.87,8000000
7,4,2.5,3,"Rudreshwor chowk-02, Budhanilkantha, Kathmandu",0,9,0,2,13,Gravelled,1,3123.03,60000000
0,0,N/A,2,"Bhudanilkantha way to deuba niwas, Budhanilkantha, Kathmandu",0,7,0,0,14,Gravelled,0.166666667,2395.75,65500000
2,1,1.5,1,"nearby Pawan prakriti school., Tikathali, Lalitpur",0,4,0,2,16,Blacktopped,2,1411.78,15000000
8,3,2.5,1,"Ochu height, Koreran college, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,17000000
5,4,3,1,"Na, Dhumbarahi, Kathmandu",6,,,,20,Soil Stabilized,0.083333333,1093.5,65000000
3,4,3,0,"Dada Pauwa, Sitapaila, Kathmandu",3,5,,,13,Soil Stabilized,2,2258,18000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,4,2,0,0,Soil Stabilized,0.75,1540.12,23500000
8,3,N/A,0,"Tikathali-1, Tikathali, Lalitpur",0,3,0,0,13,Blacktopped,2,1026.75,17000000
6,6,3,2,"Na, Dhapasi, Kathmandu",5,,,,13,Blacktopped,1,911.25,32000000
0,0,3,3,"Buddhanagar, Baneshwor, Kathmandu",0,4,2,0,8,Gravelled,2,1540.12,33000000
4,5,1,1,"Imadol, Imadol, Lalitpur",4,,,,20,Gravelled,2,729,21000000
7,3,N/A,1,"Phutung Tushal, Kavresthali, Kathmandu",0,4,0,0,10,Soil Stabilized,2,1369,28000000
0,0,N/A,0,"Thali, Thali, Kathmandu",0,3,1,1,0,Soil Stabilized,1,1133.7,15500000
0,0,N/A,0,"Gongabu, Manamaiju, Kathmandu",3,,,,12,Soil Stabilized,2,546.75,17000000
6,5,3,3,"Grande, Tokha, Kathmandu",8,,,,12,Gravelled,2,1458,43000000
0,0,N/A,0,"Kalanki 14, KhadgaGaun, Kalanki, Kathmandu",0,4,1,2,12,Soil Stabilized,1,1497.34,25500000
0,0,N/A,0,"Aakashyadhara, Budhanilkantha, Kathmandu",4,,,,10,Gravelled,1,729,19000000
9,7,5,0,"Dharma Chakra Marg, Bagbazar, Kathmandu, Baghbazaar, Kathmandu",0,3,1,1,10,Blacktopped,0.666666667,1133.7,35000000
6,0,3,0,"Hattisar, Hattisar, Kathmandu",0,3,2,1,20,Soil Stabilized,3,1219.26,43500000
6,3,3,3,"Lambagar, Tarkeshwor, Kathmandu",4,,,,12,Soil Stabilized,2,729,16500000
8,0,3,0,"Harisiddhi, Harisiddhi, Lalitpur",3,,,,20,Gravelled,2,546.75,15500000
0,0,N/A,0,"Taulung, Budhanilkantha, Kathmandu",0,6,1,2,16,Soil Stabilized,2,2181.84,26000000
0,0,N/A,0,"Nayabasti, Jorpati, Kathmandu",0,3,2,0,16,Blacktopped,1,1197.87,26900000
5,4,3,0,"Kausaltar, Kausaltar, Bhaktapur",0,7,2,0,15,Blacktopped,2,2566.87,30000000
5,3,3,1,"Kageshwori Manohara ward no 09, Kadaghari, Kathmandu",0,2,2,0,13,Blacktopped,1,855.62,17000000
10,0,3,0,"Sano Bharyang, Swayambhu, Kathmandu",4,,,,12,Blacktopped,2,729,23000000
0,0,N/A,0,"Gokarnashwor, Gokarneshwor, Kathmandu",0,4,0,0,0,Soil Stabilized,0.916666667,1369,35000000
5,5,3,1,"Man, Pasikot, Kathmandu",3,,,,14,Gravelled,2,546.75,16800000
5,3,3.5,1,"Gaurighat, Gaurighat, Kathmandu",0,3,3,0,12,Gravelled,1,1283.43,25000000
0,0,N/A,0,"Thali, Thali, Kathmandu",0,4,0,0,0,Soil Stabilized,0.666666667,1369,13000000
4,5,3,3,"4, Lekhnath, Pokhara",14,,,,15,Blacktopped,1,2551.5,32000000
5,3,N/A,1,"Syuchatar, Syuchatar, Kathmandu",0,6,2,0,10,Soil Stabilized,2,2224.62,22000000
7,0,2,0,"Bhangal, Sundarbasti, Budhanilkantha, Kathmandu",0,3,1,0,15,Gravelled,2,1112.31,17800000
0,0,N/A,0,"Bafal, Bafal, Kathmandu",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,24500000
0,0,N/A,0,"Syuchatar, Syuchatar, Kathmandu",0,4,3,3,0,Soil Stabilized,1,1689.85,19500000
3,4,N/A,0,"Maharajgunj, Maharajgunj, Kathmandu",4,,,,13,Soil Stabilized,2,729,36500000
0,0,N/A,0,"Nagarjun, Sitapaila, Kathmandu",0,4,0,0,13,Soil Stabilized,0.75,1369,17500000
6,5,3,0,"Khumaltar, Khumaltar, Lalitpur",4,,,,14,Soil Stabilized,2,729,19500000
0,0,N/A,0,"Hetauda, Hetauda, Makwanpur",7,,,,0,Soil Stabilized,0.916666667,1275.75,8600000
0,0,N/A,0,"Gwarko, Lalitpur, Lalitpur",0,4,0,0,0,Soil Stabilized,0.916666667,1369,23000000
6,4,2.5,1,"Nearby Nilo Pool, Sukedhara, Kathmandu",0,4,0,0,12,Concrete,2,1369,32500000
0,0,N/A,0,"Shiva Chowk, Dashindhoka Jorpati, Jorpati, Kathmandu",4,,,,15,Soil Stabilized,2,729,20000000
0,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,3,0,0,13,Soil Stabilized,0.666666667,1026.75,19000000
5,3,3,1,"jorpati makalbari near sano pool, Jorpati, Kathmandu",0,3,2,0,12,Blacktopped,2,1197.87,21000000
0,0,4,0,"Fulbari, Pokhara, Fulbari, Pokhara",7,,,,15,Soil Stabilized,2,1275.75,35000000
6,3,3,0,"Nearby IOM, Baluwatar, Kathmandu",6,,,,12,Soil Stabilized,2,1093.5,51500000
4,2,2,1,"Gairi tole, Tankisinwari, Budiganga, Morang",11,,,,16,Gravelled,0.916666667,2004.75,13500000
6,6,3,0,"Na, Baluwatar, Kathmandu",6,,,,15,Blacktopped,2,1093.5,42500000
6,2,N/A,1,"Ganesh mandir, Chhauni, Kathmandu",3,,,,13,Soil Stabilized,1,546.75,27000000
0,0,N/A,0,"House sale in Jarankhu, Goldhunga, Kathmandu",0,2,2,1,13,Soil Stabilized,1,877.01,15000000
7,7,N/A,1,"Imadol, Imadol, Lalitpur",0,3,1,1,13,Soil Stabilized,0.75,1133.7,22500000
0,0,N/A,0,"Lamatar, Lamatar, Lalitpur",5,,,,12,Soil Stabilized,2,911.25,10000000
0,0,N/A,0,"Banepa, Banepa, Kavre",0,3,3,3,0,Soil Stabilized,0.666666667,1347.6,10500000
4,4,3,1,"Aloknagar, Minbhawan, Kathmandu, Nepal, Minbhawan, Kathmandu",0,5,0,0,13,Blacktopped,0.5,1711.25,39000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,17700000
5,2,3,0,"Basundhara, Basundhara, Kathmandu",5,,,,14,Soil Stabilized,2,911.25,39000000
5,3,2.5,1,"Inside Cozy Homes, Imadol, Lalitpur",0,3,2,0,13,Gravelled,1,1197.87,25000000
6,4,2.5,2,"New Millennium School, Imadol, Lalitpur",0,3,2,0,20,Gravelled,1,1197.87,24500000
3,4,3,1,"Na, Budhanilkantha, Kathmandu",3,5,,,12,Gravelled,1,2258,23000000
0,0,N/A,0,"Suichatar, Kalanki, Kathmandu",0,2,2,0,13,Soil Stabilized,1,855.62,16000000
8,7,3,0,"Durga Nagar Colony, Kalanki, Kathmandu",0,7,5,0,14,Soil Stabilized,3,2823.55,41500000
0,0,N/A,0,"Mandikatar, Kathmandu, Mandikatar, Kathmandu",0,3,2,3,13,Blacktopped,1,1262.04,27000000
0,0,N/A,0,"Bageshwori, Bhaktapur, Bhaktapur",0,4,0,0,13,Gravelled,1,1369,17000000
6,5,3,5,"Adhikari mod, Aakase dhara, Kapan, Kathmandu",0,7,0,0,12,Blacktopped,2,2395.75,32500000
0,0,N/A,0,"Dhapasi, Dhapasi, Kathmandu",0,3,0,1,0,Soil Stabilized,0.916666667,1048.14,20000000
5,2,3,1,"Naikap Naya Bhanjyang, Naikap, Kathmandu",0,6,3,3,15,Blacktopped,2,2374.35,29500000
6,2,2,4,"Khumaltar, Khumaltar, Lalitpur",0,10,0,0,14,Blacktopped,1,3422.5,60000000
3,1,1,0,"Halgada, Itahari, Sunsari",6,,,,15,Soil Stabilized,2,1093.5,6400000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,18500000
0,0,3,0,"Samakhusi, Samakhusi, Kathmandu",8,,,,13,Soil Stabilized,2,1458,55000000
5,5,3,3,"NA, Budhanilkantha, Kathmandu",15,,,,13,Soil Stabilized,2,2733.75,65000000
3,3,2.5,1,"Buddhachwok, Gothatar, Kathmandu",0,3,0,0,14,Gravelled,2,1026.75,18500000
4,4,2,3,"Budhanilkantha, Budhanilkantha, Kathmandu",10,,,,13,Soil Stabilized,2,1822.5,39000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,9700000
6,3,2,2,"66/51, Janasahayog Marga, Baneshwor, Kathmandu",4,,,,0,Soil Stabilized,2,729,34500000
7,4,N/A,1,"Jorpati, Nepal Medical College (NMC), Jorpati, Kathmandu",0,0,4,,14,Soil Stabilized,1,342.24,25000000
4,5,2,3,"Hepali, Bansbari, Kathmandu",8,,,,16,Blacktopped,1,1458,47500000
5,5,2,1,"Man, Budhanilkantha, Kathmandu",4,,,,13,Blacktopped,2,729,30500000
0,0,N/A,0,"Balaju, Balaju, Kathmandu",0,3,0,0,6,Soil Stabilized,0.666666667,1026.75,9300000
0,0,N/A,0,"House sale in Paknajol, Paknajol, Kathmandu",0,2,0,0,20,Soil Stabilized,1,684.5,35000000
6,4,3,2,"Jyoti Nagar, Budhanilkantha, Kathmandu",4,5,,,13,Blacktopped,2,2440.25,25500000
5,4,N/A,1,"Khahare Chowk, Pepsicola, Kathmandu",6,,,,14,Soil Stabilized,2,1093.5,34000000
3,3,2,4,"Nakhkhu, Ekantakuna, Lalitpur",0,12,0,0,15,Gravelled,1,4107,45000000
5,6,3,3,"Na, Budhanilkantha, Kathmandu",7,,,,20,Blacktopped,1,1275.75,45000000
5,3,3,0,"Basundhara, Basundhara, Kathmandu",4,3,,,12,Blacktopped,2,1755.75,26000000
2,1,1,2,"Kapan, Budhanilkantha, Kathmandu",3,2,,,12,Gravelled,2,1231.25,12800000
0,0,N/A,0,"Macchapokhari, Machha Pokhari, Kathmandu",0,3,0,0,13,Soil Stabilized,0.916666667,1026.75,16500000
4,3,2.5,0,"Dhaneshwor Temple, Gongabu, Kathmandu",0,3,2,0,13,Blacktopped,2,1197.87,26000000
6,6,3,1,"NA, Budhanilkantha, Kathmandu",4,,,,13,Blacktopped,2,729,28000000
8,4,4,1,"LolangPhant Goldhunga, Goldhunga, Kathmandu",5,,,,10,Gravelled,0.25,911.25,29900000
5,4,2.5,1,"Nearby Laxmi Furniture, Imadol, Lalitpur",0,3,1,0,20,Gravelled,1,1112.31,18000000
0,0,N/A,0,"Jorpati, Jorpati, Kathmandu",0,3,1,0,0,Soil Stabilized,1,1112.31,15700000
3,3,2,1,"Yakaltar, Raniban, Kathmandu, Raniban, Kathmandu",0,3,0,0,13,Paved,0.25,1026.75,30000000
0,0,N/A,0,"Lokanthali, Lokanthali, Bhaktapur",0,5,0,0,12,Soil Stabilized,0.666666667,1711.25,28000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,2,1,0,0,Soil Stabilized,0.916666667,770.06,18000000
4,3,2.5,1,"Bojepokhari, Imadol, Lalitpur",0,3,2,0,13,Gravelled,2,1197.87,21000000
4,3,3,1,"Mahalaxmi Muncipality, Imadol, Lalitpur",0,3,0,1,20,Gravelled,0.916666667,1048.14,24000000
6,2,3,0,"Budhanilkantha, Budhanilkantha, Kathmandu",4,,,,20,Soil Stabilized,2,729,22800000
4,2,N/A,1,"maitidevi, Maitidevi, Kathmandu",6,,,,13,Soil Stabilized,1,1093.5,55000000
7,4,3.5,1,"Chappal karkhana, Chappal Karkhana, Kathmandu",0,5,1,2,12,Soil Stabilized,0.916666667,1839.59,40000000
5,5,2,0,"Taulung road, Budhanilkantha, Kathmandu",14,,,,14,Blacktopped,2,2551.5,51000000
0,0,3,0,"Hattigauda, Hattigauda, Kathmandu",3,,,,13,Soil Stabilized,2,546.75,18000000
4,3,2.5,1,"Near Kirat Yakthung Chumlung, Sovahity, Lalitpur",0,3,0,0,10,Concrete,1,1026.75,20000000
7,6,3,1,"NA, Tokha, Kathmandu",3,3,,,15,Gravelled,1,1573.5,23500000
0,4,4,0,"timalshina chowk, Imadol, Lalitpur",11,,,,0,Soil Stabilized,2,2004.75,18000000
0,0,3,0,"Aakashedhara, Kapan, Kathmandu",4,2,,,12,Gravelled,2,1413.5,20000000
0,0,N/A,0,"Dhapakhel, Dhapakhel, Lalitpur",0,4,5,0,12,Blacktopped,2,1796.8,26000000
7,3,N/A,0,"Tarkeshwor Municipality Head Office, Tarkeshwor, Kathmandu",4,,,,10,Soil Stabilized,2,729,8000000
0,3,N/A,1,"A New House Sale in Sitapaila, Sitapaila, Kathmandu",4,,,,13,Soil Stabilized,0.166666667,729,25000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,0,0,0,Soil Stabilized,0.666666667,1026.75,11500000
2,1,1.5,1,"PaniTyanki, Tikathali, Lalitpur",0,2,3,0,13,Gravelled,1,941.18,11200000
5,5,2.5,4,"Nayabasti, Imadol, Imadol, Lalitpur",0,3,1,1,13,Gravelled,1,1133.7,22000000
8,5,4,2,"Sital Height, Imadol, Imadol, Lalitpur",0,4,0,0,13,Gravelled,0.666666667,1369,33500000
5,3,2.5,1,"sital height, Imadol, Lalitpur",0,2,2,0,13,Gravelled,2,855.62,15000000
0,0,N/A,0,"sitalheight, Imadol, Lalitpur",0,3,1,0,13,Soil Stabilized,1,1112.31,22000000
0,0,N/A,0,"Buddhanagar, Baneshwor, Kathmandu",6,,,,12,Blacktopped,2,1093.5,32000000
4,4,3,1,"Na, Dhapasi, Kathmandu",5,,,,20,Blacktopped,2,911.25,33500000
4,2,N/A,0,"Halchowk, Swayambhu, Kathmandu",4,8,,,16,Soil Stabilized,3,3467,13000000
0,2,3,0,"dathulan road house, Chakupat, Lalitpur",1,,,,1,Concrete,2,182.25,8700000
4,4,3,2,"NA, Budhanilkantha, Kathmandu",5,,,,15,Blacktopped,2,911.25,30500000
5,3,3,0,"Near Buddha Party Palace, Imadol, Lalitpur",3,5,,,13,Blacktopped,2,2258,16500000
2,2,N/A,0,"house, Baluwatar, Kathmandu",0,1,1,0,13,Blacktopped,2,427.81,11200000
5,3,2,1,"Harissidi, Harisiddhi, Lalitpur",3,5,,,0,Soil Stabilized,1,2258,20000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,4,0,3,20,Soil Stabilized,0.916666667,1433.17,28500000
6,4,4,3,"Samakhusi, Samakhusi, Kathmandu",0,3,0,1,10,Soil Stabilized,2,1048.14,22500000
0,0,N/A,0,"Kapan, Kapan, Kathmandu",0,3,2,2,16,Gravelled,1,1240.65,22000000
7,4,2,1,"Katyayani Temple, Mid Baneshwor, Kathmandu",0,7,0,0,10,Concrete,2,2395.75,50000000
2,1,1,1,"Shrijana basti, Kumari marga, Sukedhara, Kathmandu",0,,,,13,Blacktopped,0.166666667,0,19500000
0,0,N/A,0,"Jorpati, Jorpati, Kathmandu",0,3,2,0,0,Soil Stabilized,1,1197.87,19500000
4,4,3,1,"Sitapaila, Sitapaila, Kathmandu",3,1,,,13,Gravelled,2,889,18000000
0,0,N/A,0,"Jyotinagar, Sukedhara, Kathmandu",0,3,3,0,13,Soil Stabilized,2,1283.43,24000000
6,4,N/A,1,"Bhatkepati, Machhegaun, Kirtipur",0,7,2,,13,Soil Stabilized,1,2566.87,27500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,1,0,13,Soil Stabilized,0.666666667,1112.31,21000000
0,0,N/A,0,"Manamaiju, Balaju, Kathmandu",0,3,0,0,10,Soil Stabilized,0.916666667,1026.75,19000000
5,3,3,1,"Hattiban, Lalitpur, Imadol, Lalitpur",3,1,,,13,Blacktopped,2,889,18000000
5,5,N/A,0,"Budhanilkantha, Budhanilkantha, Kathmandu",6,,,,16,Blacktopped,0.666666667,1093.5,55000000
5,3,3,0,"jarankhu kapresthali, Joranku, Kathmandu",0,3,0,0,8,Soil Stabilized,2,1026.75,15900000
7,3,3,0,"Panchetar, Tokha, Kathmandu",0,4,2,0,10,Gravelled,2,1540.12,24500000
4,2,1.5,1,"Nearby Buddha party palace, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,13000000
7,2,3,0,"Krishna Mandir, Imadol, Lalitpur",0,3,3,2,13,Gravelled,2,1326.21,22500000
6,5,3,3,"Shantichow, Nakhipot, Lalitpur",0,8,3,3,20,Blacktopped,1,3058.85,57500000
4,3,N/A,0,"Basundhara, Basundhara, Kathmandu",5,5,,,16,Gravelled,2,2622.5,32500000
5,3,2,1,"Dhapasi-6, Dhapasi, Kathmandu",3,,,,13,Paved,0.916666667,546.75,21000000
0,0,N/A,0,"Makalbari, Makalbari, Kathmandu",0,3,0,0,0,Soil Stabilized,0.75,1026.75,17500000
0,0,N/A,0,"Kadaghari, Kadaghari, Kathmandu",0,4,0,0,12,Soil Stabilized,1,1369,23500000
8,4,N/A,1,"Rayamajhi, Naya Bazar, Kathmandu",0,3,1,0,0,Soil Stabilized,2,1112.31,32000000
4,4,N/A,1,"Sainbu, Bhaisepati, Lalitpur",0,5,2,0,20,Blacktopped,2,1882.37,35200000
6,4,3,1,"Budanilkantha, Sunderbasti, Kathmandu",0,5,0,3,13,Soil Stabilized,3,1775.42,27500000
0,0,N/A,0,"Gundu, Bhaktapur, Bhaktapur",0,6,0,0,18,Gravelled,1,2053.5,11000000
9,6,4,3,"Na, Tokha, Kathmandu",9,,,,13,Paved,2,1640.25,40000000
6,4,3.5,3,"Birendra Chowk, Kadaghari, Kathmandu",3,2,,,13,Soil Stabilized,2,1231.25,36000000
6,4,3,1,"Sanchal, Sanepa, Lalitpur",0,4,2,0,12,Soil Stabilized,1,1540.12,32500000
0,0,N/A,0,"Thankot, Thankot, Kathmandu",0,2,2,0,15,Soil Stabilized,0.916666667,855.62,7000000
6,4,2,1,"Thapa Chok, Sitapaila, Kathmandu",4,,,,11,Soil Stabilized,1,729,30000000
0,0,3.5,0,"Sitapaila, Sitapaila, Kathmandu",0,4,0,0,18,Blacktopped,0.916666667,1369,37500000
3,2,3,3,"Tinthana, Balkhu, Kathmandu",0,4,5,0,20,Soil Stabilized,2,1796.8,23000000
0,0,N/A,0,"Kapan, Bhangal, Kathmandu",0,4,0,0,0,Soil Stabilized,0.916666667,1369,23500000
0,0,3,0,"Basundhara, Basundhara, Kathmandu",3,5,,,12,Soil Stabilized,2,2258,26500000
8,0,N/A,0,"Naikap, Naikap, Kathmandu",0,3,2,0,12,Soil Stabilized,2,1197.87,18500000
4,0,N/A,3,"Na, Budhanilkantha, Kathmandu",8,1,,,14,Gravelled,1,1800.25,41000000
0,0,2,0,"Savyatanagar, Thasikhel, Lalitpur",0,6,2,0,13,Blacktopped,1,2224.62,35000000
0,0,N/A,0,"Thali, Thali, Kathmandu",0,3,2,0,10,Soil Stabilized,1,1197.87,11800000
7,3,3,4,"Dallu, Dallu, Kathmandu",0,7,1,0,14,Blacktopped,1,2481.31,55000000
4,1,N/A,0,"Bardiya, Guleriya, Bardiya",1,,,,14,Soil Stabilized,2,182.25,3650000
0,0,4,1,"dhapakhel height, Dhapakhel, Lalitpur",0,4,0,0,10,Gravelled,2,1369,25600000
0,3,3,1,"pepsicola, Pepsicola, Kathmandu",3,5,,,10,Soil Stabilized,0.166666667,2258,27500000
0,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,2,3,0,10,Soil Stabilized,0.75,941.18,16200000
3,3,N/A,1,"Imadol, Gwarko, Lalitpur",0,0,3,,13,Blacktopped,2,256.68,17500000
4,4,3,1,"Buddha Colony, Buddha Party Palace, Imadol, Imadol, Lalitpur",0,3,2,0,13,Gravelled,0.5,1197.87,26000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,3,0,13,Soil Stabilized,0.666666667,1283.43,14500000
0,0,N/A,0,"Gatthaghar, Gatthaghar, Bhaktapur",0,4,0,0,15,Soil Stabilized,0.75,1369,40000000
5,3,N/A,3,"Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,6,0,0,12,Blacktopped,1,2053.5,47000000
10,3,4,1,"Pepsi Cola, Pepsicola, Kathmandu",0,2,5,0,20,Paved,1,1112.3,22200000
5,4,3,4,"Arubari, Chabahil, Kathmandu",4,,,,12,Soil Stabilized,2,729,37000000
0,0,N/A,0,"Sukedhara, Sukedhara, Kathmandu",0,4,1,0,0,Soil Stabilized,0.916666667,1454.56,27000000
4,5,3,2,"Bishnumati, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,9,0,0,18,Concrete,0.5,3080.25,55000000
6,6,3,2,"Na, Kapan, Kathmandu",5,,,,13,Blacktopped,1,911.25,31000000
3,3,N/A,0,"Jorpati, Gokarneshwor, Kathmandu",2,2,,,12,Soil Stabilized,0.25,1049,14300000
0,0,4,0,"Ramhiti, Boudha, Kathmandu",7,,,,20,Soil Stabilized,2,1275.75,33000000
2,1,1,0,"Imadol, Mahalaxmisthan, Lalitpur",0,3,0,,15,Gravelled,1,1026.75,12500000
0,0,N/A,0,"Basundhara - Wedding Hall, Basundhara, Kathmandu",0,5,2,0,15,Blacktopped,2,1882.37,29800000
0,0,N/A,0,"Halchowk, Halchowk , Kathmandu",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,8400000
0,0,N/A,0,"Gongabu, Gongabu, Kathmandu",0,5,0,0,0,Soil Stabilized,0.916666667,1711.25,27500000
0,0,2,0,"Gothatar, Gothatar, Kathmandu",0,3,2,0,13,Blacktopped,2,1197.87,15500000
5,3,3,0,"Ekantakuna, Ekantakuna, Lalitpur",0,3,1,2,22,Blacktopped,2,1155.09,27000000
2,1,1.5,1,"Nearby Buddha Party Palace, Imadol, Lalitpur",0,2,3,0,13,Gravelled,1,941.18,11500000
2,1,1,0,"Kapan, Kapan, Kathmandu",0,3,5,0,12,Gravelled,2,1454.55,7500000
0,0,N/A,0,"Krishna Mandir, Imadol, Lalitpur",0,3,1,0,13,Soil Stabilized,1,1112.31,13800000
6,5,3,6,"NA, Budhanilkantha, Kathmandu",12,,,,15,Blacktopped,2,2187,57500000
0,0,N/A,0,"Dhaneshwor, Dhapasi, Kathmandu",0,4,2,0,0,Soil Stabilized,0.666666667,1540.12,23000000
5,3,2.5,0,"Bohoratar, Bohoratar, Kathmandu",0,3,0,0,22,Blacktopped,1,1026.75,16500000
6,4,2.5,3,"Imadol, Tikathali, Lalitpur",0,4,0,0,20,Concrete,2,1369,21500000
4,5,3,2,"Na, Budhanilkantha, Kathmandu",5,,,,15,Blacktopped,1,911.25,37500000
4,4,2,2,"Budhanilkantha, Hattigauda, Kathmandu",0,7,2,0,13,Soil Stabilized,3,2566.87,55000000
0,0,N/A,0,"Kathmandu, Sitapaila, Kathmandu",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,25000000
0,0,N/A,0,"Makalbari, Kathmandu, Makalbari, Kathmandu",0,2,2,0,0,Soil Stabilized,0.916666667,855.62,13500000
5,6,3,1,"na, Tokha, Kathmandu",3,1,,,12,Blacktopped,2,889,17800000
0,0,N/A,0,"Chapagaun, Chapagaun, Lalitpur",0,4,0,0,0,Soil Stabilized,0.916666667,1369,8500000
5,5,3,1,"Na, Hattigauda, Kathmandu",5,5,,,14,Gravelled,2,2622.5,33500000
0,0,2,0,"Dallu, Dallu, Kathmandu",0,4,0,0,13,Gravelled,0.25,1369,45000000
0,0,N/A,0,"Tokha, Tokha, Kathmandu",0,4,0,0,22,Soil Stabilized,0.75,1369,26000000
4,3,3,0,"Krishna Temple, Imadol, Lalitpur",0,3,0,3,10,Gravelled,2,1090.92,19000000
7,6,5,4,"Mulpani, Mulpani, Kathmandu",3,1,,,14,Gravelled,2,889,16000000
5,5,3,4,"Deuba Chowk, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",0,10,0,0,14,Concrete,0.5,3422.5,70000000
